,KHOLODKOVSKIY_FAUST_GOETHE,KHOLODKOVSKIY_FAUST2_GOETHE,PASTERNAK_FAUST_GOETHE,PASTERNAK_FAUST2_GOETHE
в,-0.13940447263443576,-1.1454563310871468,-0.006823995163923428,1.291684798885506
и,0.06468642712385989,-1.0479201194065302,-0.3493067064688434,1.3325403987515136
И,-0.04021445312477324,-1.2399456380138416,0.0737264973954176,1.2064335937431971
не,0.08854539521210676,-1.253257901463665,-0.027244736988340543,1.1919572432398988
я,1.2428726836169102,-1.0576602837053706,-0.4922750629227762,0.30706266301123664
на,-0.3300866384822722,-1.0397729112191574,0.024756497886170417,1.3451030518152594
с,-0.20050072587005566,-1.0735671777599183,-0.06852556453786712,1.342593468167841
Я,-0.4228401124664776,-1.2152957078581978,0.7835848238015145,0.854550996523161
В,-0.25656753425617784,-0.7554488508654126,-0.4561200608998717,1.468136446021462
ты,0.8104547798978462,-1.2935072977177546,-0.284464260493946,0.7675167783138543
мне,1.3821758186257818,-1.0096745341734434,-0.16664531146551978,-0.20585597298681857
к,-0.3212919967160415,-1.1066724331330318,0.14279644298490732,1.285167986864166
что,0.6702956588194726,-1.3702504175867094,-0.11270457980150425,0.8126593385687412
как,-0.3334434861182486,-1.1613031757911416,0.2874512811364212,1.2072953807729692
все,0.6812242857944479,-0.5468983702856836,-1.1225808653232452,0.9882549498144808
А,0.5201420201259241,-1.4415364557775614,0.12384333812522004,0.7975510975264171
Но,-0.4902390768800939,-0.7310582725404908,-0.24941988121969688,1.4707172306402816
он,1.2334175375853254,-0.1247276161603138,-1.2057002895497,0.09701036812468851
Что,0.6133813795234258,-1.1107176331910682,-0.5470698790344067,1.0444061327020493
Не,0.2840487983046438,-1.3066244722013616,-0.07574634621457169,1.0983220201112895
Как,0.16280823253085994,-1.4049747473959395,0.2834069232944599,0.9587595915706196
за,0.2514712190894897,-1.3076503392653465,-0.05029424381789794,1.1064733639937547
Мефистофель,1.4436038566246836,-0.10062103694823542,-0.6263146177390164,-0.7166682019374319
Фауст,1.4608140829879008,-0.1668848639407148,-0.6241036692577416,-0.6698255497894443
Ты,0.07176689692818788,-1.3316746430008197,0.1674560928324384,1.0924516532401933
их,-0.5317969134489099,-0.4743053552382169,-0.49346920797511457,1.4995714766622412
мы,0.19333333333333333,-0.5266666666666666,-0.98,1.3133333333333332
из,-0.8204426535001561,-0.6912390860198165,0.16150445935042443,1.3501772801695482
у,-0.20054174513304635,-1.3295174955116775,0.6610450117348564,0.8690142289098675
это,0.04077954358702776,-1.2641658511978606,0.04077954358702776,1.1826067640238052
то,0.993399267798783,-1.163696285135717,-0.4825082157879803,0.6528052331249146
по,-0.4536113630694801,-1.0427170293934802,0.20618698321340004,1.2901414092495602
нам,0.4743515273356806,-0.1839322248852639,-1.3068868610268751,1.0164675585764584
так,0.9877014827051551,-1.1466419511864445,-0.5108800772612871,0.6698205457425764
На,-0.7257946509373269,-0.7983741160310596,0.18144866273433172,1.3427201042340546
же,1.0827731136442502,-0.7370136319763384,-0.955388041450809,0.6096285597828972
Он,-0.33799732757836154,-0.9801922499772485,-0.06759946551567231,1.3857890430712823
бы,0.43240032327737543,-1.4207439193399478,0.10295245792318462,0.8853911381393877
меня,1.1022589143962438,-1.2207813783098185,0.438533116480226,-0.32001065256665145
Все,-0.63470708635044,-0.5382958833604998,-0.31333640971730586,1.4863393794282458
его,0.5825525120884052,-1.008810447762848,-0.6678040992232936,1.0940620348977366
С,-0.47397358105716453,-0.9220940576930291,0.008617701473766627,1.387449937276427
вы,1.4812372959592395,-0.6689458755944953,-0.5256003308242463,-0.28669108954049793
Вот,0.15885101466409673,-1.2708081173127739,-0.05295033822136558,1.1649074408700428
от,0.02612352542303111,-1.4019625310360027,0.47893129942223694,0.8969077061907347
вам,0.9776720996668985,-1.359750851260859,-0.05618805170499417,0.4382668032989545
О,1.3715203101540452,-0.9644884761728447,0.026545554390078295,-0.4335773883712788
нас,0.08980265101338744,-0.44901325506693723,-0.9878291611472618,1.3470397652008117
б,0.08507429521112404,-1.4037258709835467,0.38283432845005816,0.9358172473223644
ли,1.4533577534681743,-0.5162199670788598,-0.16677875859470853,-0.7703590277946061
нет,1.3513984606524327,-1.0434848873392202,-0.01710630962851181,-0.2908072636847007
Когда,0.6269918254009332,-1.4287190775529461,0.05139277257384698,0.750334479578166
вас,0.47655304399229026,-1.4296591319768708,0.10590067644273116,0.8472054115418493
Кто,-0.06944891018152789,-0.9722847425413906,-0.3472445509076395,1.388978203630558
Так,0.8223893466966803,-1.287892750487254,-0.2948188224006967,0.7603222261912704
без,-0.4392941269891137,-1.179157919812884,0.5780185881435707,1.0404334586584272
мой,1.482897424494899,-0.7024250958133732,-0.4292597807748392,-0.3512125479066866
ж,1.451206394693739,-0.1364382080481293,-0.5829632525692798,-0.73180493407633
там,0.7887864940544699,0.8707383375925967,-1.1780577508605719,-0.48146708078649464
Мы,-0.49513869432568275,-0.6655089977495736,-0.3247683909017919,1.4854160829770482
был,1.0069756700139285,-0.6971370023173351,-1.0069756700139285,0.6971370023173351
К,0.8017176782289658,-0.8960374050794324,-0.8331575871791214,0.9274773140295879
для,0.32382421004777023,-1.0476665619192564,-0.5143090394876351,1.2381513913591213
здесь,1.426336946900246,-0.04457302959063269,-0.7577415030407557,-0.6240224142688576
тебя,0.6842169730736284,-1.466179228014918,0.5864716912059672,0.1954905637353224
ее,0.7107001488042823,-1.434809734378457,0.0670471838494606,0.6570624017247139
ни,0.017521403787003266,-1.0337628234331928,-0.33290667195306206,1.3491480915992515
Да,1.473420125366077,-0.7468019813499294,-0.30275756000672815,-0.4238605840094194
тебе,1.0882245701179658,-1.2935499607062613,-0.14372777341180681,0.3490531640001023
вот,1.3666666666666667,-1.0333333333333334,-0.1,-0.23333333333333334
до,-0.5663352812318752,-1.058800743172636,0.4678421888437229,1.1572938355607882
под,-0.4920898966324273,-0.9021648104927834,0.0,1.3942547071252107
этот,-0.42898017585419923,-1.058151100440358,0.20019074873195963,1.2869405275625976
Вы,-0.5212860351426869,-0.9383148632568364,0.10425720702853737,1.355343691370986
Чтоб,-0.04957041521712282,-1.2392603804280704,0.0826173586952047,1.2062134369499886
всех,0.6195977726543822,-1.2605609857451225,-0.3204816065453701,0.9614448196361103
Где,-0.40814752573556917,-0.952344226716328,-0.027209835049037946,1.387701587500935
лишь,0.9173668508065393,0.5504201104839236,-1.3577029391936781,-0.11008402209678472
о,0.13491508528604745,-1.0985942659006722,-0.3276509214089724,1.291330102023597
только,0.5975301277099982,-1.4248795353084573,0.04596385597769217,0.781385551620767
будет,1.1068482832673796,-1.1068482832673796,-0.5242965552319167,0.5242965552319167
если,0.9424529286169205,-1.4136793929253808,0.26927226531912013,0.2019541989893401
во,-0.22917462425705284,-1.2375429709880854,0.320844473959874,1.1458731212852642
Мне,0.13525044520011484,-1.3074209702677768,0.045083481733371615,1.1270870433342903
чем,0.2460495077015195,-1.2749838126351467,-0.11184068531887251,1.1407749902524995
сам,0.5631288431253824,-0.616760161518276,-1.0458107086614246,1.0994420270543181
со,0.1608168802256692,-1.447351922031023,0.48245064067700766,0.8040844011283461
